goos: linux
goarch: amd64
pkg: github.com/marselester/systemd
cpu: Intel(R) Core(TM) i5-10600 CPU @ 3.30GHz
BenchmarkDecodeHeader-2      	 3623786	       343.5 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3656418	       340.5 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3629420	       337.9 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3086445	       328.7 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3368340	       385.1 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3648466	       329.9 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3631156	       331.4 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3598436	       404.5 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3644954	       356.8 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3640231	       350.3 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3623878	       379.1 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3638749	       331.8 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3678321	       335.0 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3483648	       330.4 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3646842	       328.5 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3673183	       332.7 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3669303	       332.8 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3649574	       387.6 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3649615	       382.7 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3668660	       340.7 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3651666	       395.5 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3389377	       333.0 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3611245	       333.4 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3684886	       328.6 ns/op	      15 B/op	       0 allocs/op
